atraso,aluno_id,falta,criado_em,primeira_metade
atrasado,139,TRUE,2024-04-12 20:01:01.985923,TRUE
atrasado,140,TRUE,2024-04-12 20:01:01.987622,TRUE
atrasado,141,TRUE,2024-04-12 20:01:01.989040,TRUE
atrasado,142,TRUE,2024-04-12 20:01:01.990600,TRUE
atrasado,143,TRUE,2024-04-12 20:01:01.991964,TRUE
atrasado,144,TRUE,2024-04-12 20:01:01.995159,TRUE
atrasado,145,TRUE,2024-04-12 20:01:01.996995,TRUE
atrasado,146,TRUE,2024-04-12 20:01:01.998628,TRUE
atrasado,147,TRUE,2024-04-12 20:01:02.000324,TRUE
atrasado,148,TRUE,2024-04-12 20:01:02.002008,TRUE
atrasado,149,TRUE,2024-04-12 20:01:02.004976,TRUE
atrasado,150,TRUE,2024-04-12 20:01:02.007165,TRUE
atrasado,151,TRUE,2024-04-12 20:01:02.009054,TRUE
atrasado,152,TRUE,2024-04-12 20:01:02.011219,TRUE
atrasado,153,TRUE,2024-04-12 20:01:02.012838,TRUE
atrasado,154,TRUE,2024-04-12 20:01:02.014358,TRUE
atrasado,155,TRUE,2024-04-12 20:01:02.015830,TRUE
atrasado,156,TRUE,2024-04-12 20:01:02.017159,TRUE
atrasado,157,TRUE,2024-04-12 20:01:02.018374,TRUE
atrasado,158,TRUE,2024-04-12 20:01:02.019556,TRUE
atrasado,159,TRUE,2024-04-12 20:01:02.020712,TRUE
atrasado,160,TRUE,2024-04-12 20:01:02.021906,TRUE
atrasado,161,TRUE,2024-04-12 20:01:02.023035,TRUE
atrasado,162,TRUE,2024-04-12 20:01:02.024259,TRUE
atrasado,163,TRUE,2024-04-12 20:01:02.025403,TRUE
atrasado,164,TRUE,2024-04-12 20:01:02.026498,TRUE
atrasado,165,TRUE,2024-04-12 20:01:02.027739,TRUE
atrasado,166,TRUE,2024-04-12 20:01:02.028889,TRUE
atrasado,167,TRUE,2024-04-12 20:01:02.030312,TRUE
atrasado,168,TRUE,2024-04-12 20:01:02.031692,TRUE
atrasado,169,TRUE,2024-04-12 20:01:02.032880,TRUE
atrasado,170,TRUE,2024-04-12 20:01:02.034276,TRUE
atrasado,171,TRUE,2024-04-12 20:01:02.035518,TRUE
atrasado,172,TRUE,2024-04-12 20:01:02.036956,TRUE
atrasado,173,TRUE,2024-04-12 20:01:02.038217,TRUE
atrasado,174,TRUE,2024-04-12 20:01:02.039457,TRUE
atrasado,175,TRUE,2024-04-12 20:01:02.040677,TRUE
atrasado,176,TRUE,2024-04-12 20:01:02.042209,TRUE
atrasado,177,TRUE,2024-04-12 20:01:02.043444,TRUE
atrasado,178,TRUE,2024-04-12 20:01:02.044702,TRUE
atrasado,179,TRUE,2024-04-12 20:01:02.045997,TRUE
atrasado,180,TRUE,2024-04-12 20:01:02.047292,TRUE
atrasado,181,TRUE,2024-04-12 20:01:02.048562,TRUE
atrasado,182,TRUE,2024-04-12 20:01:02.049950,TRUE
atrasado,183,TRUE,2024-04-12 20:01:02.052009,TRUE
atrasado,184,TRUE,2024-04-12 20:01:02.053371,TRUE
atrasado,185,TRUE,2024-04-12 20:01:02.054882,TRUE
atrasado,186,TRUE,2024-04-12 20:01:02.056336,TRUE
atrasado,187,TRUE,2024-04-12 20:01:02.057489,TRUE
atrasado,188,TRUE,2024-04-12 20:01:02.058609,TRUE
atrasado,189,TRUE,2024-04-12 20:01:02.059805,TRUE
atrasado,190,TRUE,2024-04-12 20:01:02.061043,TRUE
atrasado,191,TRUE,2024-04-12 20:01:02.062511,TRUE
atrasado,192,TRUE,2024-04-12 20:01:02.064357,TRUE
atrasado,193,TRUE,2024-04-12 20:01:02.065968,TRUE
atrasado,194,TRUE,2024-04-12 20:01:02.067491,TRUE
atrasado,195,TRUE,2024-04-12 20:01:02.068764,TRUE
atrasado,196,TRUE,2024-04-12 20:01:02.070014,TRUE
atrasado,197,TRUE,2024-04-12 20:01:02.071219,TRUE
atrasado,198,TRUE,2024-04-12 20:01:02.072461,TRUE
atrasado,199,TRUE,2024-04-12 20:01:02.073739,TRUE
atrasado,200,TRUE,2024-04-12 20:01:02.075200,TRUE
atrasado,201,TRUE,2024-04-12 20:01:02.076421,TRUE
atrasado,202,TRUE,2024-04-12 20:01:02.077582,TRUE
atrasado,203,TRUE,2024-04-12 20:01:02.078698,TRUE
atrasado,204,TRUE,2024-04-12 20:01:02.079891,TRUE
atrasado,205,TRUE,2024-04-12 20:01:02.081050,TRUE
atrasado,206,TRUE,2024-04-12 20:01:02.082348,TRUE
atrasado,207,TRUE,2024-04-12 20:01:02.083637,TRUE
atrasado,208,TRUE,2024-04-12 20:01:02.087025,TRUE
atrasado,209,TRUE,2024-04-12 20:01:02.089042,TRUE
atrasado,210,TRUE,2024-04-12 20:01:02.091294,TRUE
atrasado,211,TRUE,2024-04-12 20:01:02.093627,TRUE
atrasado,212,TRUE,2024-04-12 20:01:02.095458,TRUE
atrasado,213,TRUE,2024-04-12 20:01:02.098389,TRUE
atrasado,214,TRUE,2024-04-12 20:01:02.102368,TRUE
atrasado,215,TRUE,2024-04-12 20:01:02.104187,TRUE
atrasado,216,TRUE,2024-04-12 20:01:02.105896,TRUE
atrasado,217,TRUE,2024-04-12 20:01:02.107420,TRUE
atrasado,218,TRUE,2024-04-12 20:01:02.108917,TRUE
atrasado,219,TRUE,2024-04-12 20:01:02.110363,TRUE
atrasado,220,TRUE,2024-04-12 20:01:02.111709,TRUE
atrasado,221,TRUE,2024-04-12 20:01:02.112997,TRUE
atrasado,222,TRUE,2024-04-12 20:01:02.114313,TRUE
atrasado,223,TRUE,2024-04-12 20:01:02.115572,TRUE
atrasado,224,TRUE,2024-04-12 20:01:02.116794,TRUE
atrasado,225,TRUE,2024-04-12 20:01:02.118660,TRUE
atrasado,226,TRUE,2024-04-12 20:01:02.121212,TRUE
atrasado,227,TRUE,2024-04-12 20:01:02.126071,TRUE
atrasado,228,TRUE,2024-04-12 20:01:02.129166,TRUE
atrasado,229,TRUE,2024-04-12 20:01:02.131979,TRUE
atrasado,230,TRUE,2024-04-12 20:01:02.135409,TRUE
atrasado,231,TRUE,2024-04-12 20:01:02.137795,TRUE
atrasado,232,TRUE,2024-04-12 20:01:02.140133,TRUE
atrasado,233,TRUE,2024-04-12 20:01:02.142341,TRUE
atrasado,234,TRUE,2024-04-12 20:01:02.144974,TRUE
atrasado,235,TRUE,2024-04-12 20:01:02.147420,TRUE
atrasado,236,TRUE,2024-04-12 20:01:02.149417,TRUE
atrasado,237,TRUE,2024-04-12 20:01:02.151360,TRUE
atrasado,120,TRUE,2024-04-12 22:01:01.714028,FALSE
atrasado,121,TRUE,2024-04-12 22:01:01.717130,FALSE
atrasado,122,TRUE,2024-04-12 22:01:01.719998,FALSE
atrasado,123,TRUE,2024-04-12 22:01:01.722782,FALSE
atrasado,124,TRUE,2024-04-12 22:01:01.726854,FALSE
atrasado,125,TRUE,2024-04-12 22:01:01.729575,FALSE
atrasado,126,TRUE,2024-04-12 22:01:01.732306,FALSE
atrasado,127,TRUE,2024-04-12 22:01:01.734713,FALSE
atrasado,128,TRUE,2024-04-12 22:01:01.737374,FALSE
atrasado,129,TRUE,2024-04-12 22:01:01.739678,FALSE
atrasado,130,TRUE,2024-04-12 22:01:01.741909,FALSE
atrasado,131,TRUE,2024-04-12 22:01:01.744206,FALSE
atrasado,132,TRUE,2024-04-12 22:01:01.746409,FALSE
atrasado,133,TRUE,2024-04-12 22:01:01.748828,FALSE
atrasado,134,TRUE,2024-04-12 22:01:01.751037,FALSE
atrasado,135,TRUE,2024-04-12 22:01:01.753301,FALSE
atrasado,136,TRUE,2024-04-12 22:01:01.755449,FALSE
atrasado,137,TRUE,2024-04-12 22:01:01.757670,FALSE
atrasado,138,TRUE,2024-04-12 22:01:01.760448,FALSE
atrasado,139,TRUE,2024-04-12 22:01:01.762666,FALSE
